epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,14839.1,0.45524,0.45101,0.96619,0.66617,0.72887,0.73839,0.66877,0.50588,0.83061,1.07487,0.00110645,0.00110645,0.00110645
59,15091.1,0.44782,0.42902,0.95963,0.69671,0.70685,0.6967,0.63052,0.47,0.83395,1.02309,0.00110079,0.00110079,0.00110079
60,15345.2,0.44769,0.44,0.95327,0.59505,0.7503,0.71544,0.63227,0.50853,0.82215,1.07966,0.00109513,0.00109513,0.00109513
61,15597.5,0.45321,0.43894,0.96208,0.72128,0.77004,0.72477,0.66187,0.54847,0.78911,1.07858,0.00108947,0.00108947,0.00108947
62,15850.9,0.43602,0.42889,0.95714,0.72835,0.72908,0.72154,0.66181,0.51399,0.79793,1.08588,0.00108381,0.00108381,0.00108381
63,16103.7,0.44285,0.4075,0.95538,0.72149,0.78347,0.75738,0.69089,0.5109,0.71044,1.06251,0.00107815,0.00107815,0.00107815
64,16357.1,0.45025,0.42326,0.95823,0.75441,0.74335,0.72321,0.66887,0.49558,0.76102,1.0608,0.00107249,0.00107249,0.00107249
65,16610.3,0.45355,0.41583,0.96487,0.62394,0.71373,0.70648,0.65184,0.52874,0.83316,1.08386,0.00106683,0.00106683,0.00106683
66,16863.3,0.4378,0.41949,0.94563,0.67789,0.65913,0.69271,0.6227,0.53196,0.89258,1.11116,0.00106118,0.00106118,0.00106118
67,17118.2,0.44447,0.40322,0.95551,0.61104,0.65157,0.66018,0.58925,0.52841,0.97991,1.08858,0.00105552,0.00105552,0.00105552
68,17372.2,0.44842,0.40816,0.95624,0.74895,0.67968,0.71988,0.66074,0.52191,0.75008,1.08463,0.00104986,0.00104986,0.00104986
69,17629.1,0.4395,0.39667,0.95457,0.63233,0.76579,0.72263,0.65813,0.49749,0.73709,1.06229,0.0010442,0.0010442,0.0010442
70,17882.2,0.44422,0.39471,0.95689,0.71938,0.77765,0.70812,0.65309,0.45573,0.71958,1.00844,0.00103854,0.00103854,0.00103854
71,18136.2,0.44351,0.40076,0.95284,0.83952,0.67719,0.71572,0.65109,0.48935,0.79485,1.04495,0.00103288,0.00103288,0.00103288
72,18390.1,0.43147,0.40469,0.95002,0.73527,0.68769,0.68471,0.62278,0.49804,0.7835,1.05175,0.00102722,0.00102722,0.00102722
73,18642.2,0.42477,0.40956,0.94885,0.78251,0.72201,0.65613,0.60457,0.47549,0.88668,1.04768,0.00102156,0.00102156,0.00102156
74,18895.4,0.43944,0.41693,0.95197,0.68981,0.76668,0.77673,0.70791,0.46144,0.67386,1.02798,0.0010159,0.0010159,0.0010159
75,19148.3,0.43701,0.41437,0.95357,0.69814,0.69438,0.73516,0.67833,0.47333,0.72322,1.037,0.00101025,0.00101025,0.00101025
76,19400.5,0.43704,0.39011,0.94913,0.6514,0.78907,0.7538,0.68857,0.4925,0.70312,1.01842,0.00100459,0.00100459,0.00100459
77,19653.3,0.42951,0.39351,0.94874,0.65134,0.73992,0.66617,0.5929,0.5031,0.79705,1.06265,0.000998928,0.000998928,0.000998928
78,19906.7,0.42764,0.3997,0.9453,0.64779,0.74956,0.69077,0.61661,0.49632,0.75585,1.06817,0.000993269,0.000993269,0.000993269
79,20158.8,0.4193,0.37414,0.9476,0.59247,0.83797,0.72933,0.67469,0.49219,0.86412,1.03747,0.00098761,0.00098761,0.00098761
80,20411.2,0.42018,0.38961,0.94871,0.82501,0.7674,0.70607,0.66148,0.44993,0.85575,1.01343,0.000981952,0.000981952,0.000981952
81,20666.5,0.41897,0.37399,0.9373,0.82874,0.68012,0.69224,0.63143,0.5024,0.83856,1.09086,0.000976293,0.000976293,0.000976293
